지역,속도
"('강원도', '강릉시')",23.113333333333333
"('강원도', '고성군')",25.192
"('강원도', '동해시')",23.128999999999998
"('강원도', '삼척시')",31.280833333333334
"('강원도', '속초시')",19.146250000000002
"('강원도', '양구군')",32.435
"('강원도', '양양군')",30.25333333333333
"('강원도', '영월군')",31.261111111111113
"('강원도', '원주시')",22.8668
"('강원도', '인제군')",35.65
"('강원도', '정선군')",31.793333333333333
"('강원도', '철원군')",30.608333333333334
"('강원도', '춘천시')",22.127200000000002
"('강원도', '태백시')",26.1375
"('강원도', '평창군')",32.28
"('강원도', '홍천군')",32.60555555555556
"('강원도', '화천군')",33.884
"('강원도', '횡성군')",29.84444444444445
"('경기도', '가평군')",28.715000000000003
"('경기도', '고양시 덕양구')",21.984210526315792
"('경기도', '고양시 일산동구')",17.87727272727273
"('경기도', '고양시 일산서구')",17.63222222222222
"('경기도', '과천시')",20.978333333333335
"('경기도', '광명시')",16.74055555555556
"('경기도', '광주시')",30.884285714285717
"('경기도', '구리시')",21.545
"('경기도', '군포시')",18.61
"('경기도', '김포시')",20.88083333333333
"('경기도', '남양주시')",21.927333333333326
"('경기도', '동두천시')",20.286250000000003
"('경기도', '성남시 분당구')",17.82863636363636
"('경기도', '성남시 수정구')",20.163529411764706
"('경기도', '성남시 중원구')",17.127272727272725
"('경기도', '수원시 권선구')",17.761666666666667
"('경기도', '수원시 영통구')",16.921666666666667
"('경기도', '수원시 장안구')",19.351
"('경기도', '수원시 팔달구')",17.659
"('경기도', '시흥시')",20.076666666666664
"('경기도', '안산시 단원구')",17.86916666666667
"('경기도', '안산시 상록구')",19.55230769230769
"('경기도', '안성시')",26.107333333333333
"('경기도', '안양시 동안구')",17.482352941176472
"('경기도', '안양시 만안구')",18.29928571428572
"('경기도', '양주시')",22.94636363636364
"('경기도', '양평군')",28.647499999999997
"('경기도', '여주시')",27.709166666666672
"('경기도', '연천군')",25.796000000000003
"('경기도', '오산시')",19.118333333333336
"('경기도', '용인시 기흥구')",20.04625
"('경기도', '용인시 수지구')",17.715555555555554
"('경기도', '용인시 처인구')",23.991999999999997
"('경기도', '의왕시')",21.846666666666668
"('경기도', '의정부시')",19.971818181818183
"('경기도', '이천시')",23.840000000000007
"('경기도', '파주시')",22.5925
"('경기도', '평택시')",20.556666666666665
"('경기도', '포천시')",27.86714285714286
"('경기도', '하남시')",19.455000000000002
"('경기도', '화성시')",21.989599999999996
"('경상남도', '거제시')",23.16611111111111
"('경상남도', '거창군')",35.4875
"('경상남도', '고성군')",35.03357142857143
"('경상남도', '김해시')",22.776842105263164
"('경상남도', '남해군')",29.558000000000003
"('경상남도', '밀양시')",27.05875
"('경상남도', '사천시')",25.307857142857138
"('경상남도', '산청군')",32.041818181818186
"('경상남도', '양산시')",22.77846153846154
"('경상남도', '의령군')",32.67153846153846
"('경상남도', '진주시')",25.798
"('경상남도', '창녕군')",29.97857142857143
"('경상남도', '창원시 마산합포구')",21.149285714285714
"('경상남도', '창원시 마산회원구')",20.811666666666664
"('경상남도', '창원시 성산구')",18.392857142857142
"('경상남도', '창원시 의창구')",21.5625
"('경상남도', '창원시 진해구')",20.606666666666666
"('경상남도', '통영시')",23.210833333333337
"('경상남도', '하동군')",29.95307692307692
"('경상남도', '함안군')",28.821000000000005
"('경상남도', '함양군')",36.46000000000001
"('경상남도', '합천군')",33.61529411764706
"('경상북도', '경산시')",22.307857142857138
"('경상북도', '경주시')",24.503181818181815
"('경상북도', '고령군')",26.88
"('경상북도', '구미시')",23.10391304347826
"('경상북도', '군위군')",35.70142857142857
"('경상북도', '김천시')",32.10590909090909
"('경상북도', '문경시')",27.020714285714284
"('경상북도', '봉화군')",34.212
"('경상북도', '상주시')",31.07652173913043
"('경상북도', '성주군')",29.561000000000007
"('경상북도', '안동시')",26.21625
"('경상북도', '영덕군')",35.724444444444444
"('경상북도', '영양군')",36.623333333333335
"('경상북도', '영주시')",24.844210526315788
"('경상북도', '영천시')",28.766875000000002
"('경상북도', '예천군')",30.622500000000002
"('경상북도', '울릉군')",28.613333333333333
"('경상북도', '울진군')",30.806
"('경상북도', '의성군')",36.77333333333334
"('경상북도', '청도군')",33.096666666666664
"('경상북도', '청송군')",39.40875
"('경상북도', '칠곡군')",25.5625
"('경상북도', '포항시 남구')",22.62357142857143
"('경상북도', '포항시 북구')",24.533333333333335
"('광주광역시', '광산구')",20.752857142857145
"('광주광역시', '남구')",17.638125000000002
"('광주광역시', '동구')",20.011538461538464
"('광주광역시', '북구')",18.693461538461538
"('광주광역시', '서구')",17.16611111111111
"('대구광역시', '남구')",17.54769230769231
"('대구광역시', '달서구')",17.769090909090906
"('대구광역시', '달성군')",22.235555555555557
"('대구광역시', '동구')",21.027368421052632
"('대구광역시', '북구')",19.730434782608697
"('대구광역시', '서구')",17.548235294117646
"('대구광역시', '수성구')",17.496956521739133
"('대구광역시', '중구')",16.579166666666666
"('대전광역시', '대덕구')",21.091666666666665
"('대전광역시', '동구')",19.43
"('대전광역시', '서구')",16.805652173913046
"('대전광역시', '유성구')",19.40090909090909
"('대전광역시', '중구')",17.84058823529412
"('부산광역시', '강서구')",22.225
"('부산광역시', '금정구')",21.831333333333337
"('부산광역시', '기장군')",23.330000000000002
"('부산광역시', '남구')",18.771764705882354
"('부산광역시', '동구')",20.903636363636362
"('부산광역시', '동래구')",18.303846153846155
"('부산광역시', '부산진구')",18.604999999999997
"('부산광역시', '북구')",19.267692307692307
"('부산광역시', '사상구')",19.34583333333333
"('부산광역시', '사하구')",18.746875
"('부산광역시', '서구')",19.044615384615383
"('부산광역시', '수영구')",19.323999999999998
"('부산광역시', '연제구')",16.91
"('부산광역시', '영도구')",17.89181818181818
"('부산광역시', '중구')",17.903333333333332
"('부산광역시', '해운대구')",18.055555555555554
"('서울특별시', '강남구')",16.86818181818182
"('서울특별시', '강동구')",18.257222222222218
"('서울특별시', '강북구')",16.335384615384616
"('서울특별시', '강서구')",17.758499999999994
"('서울특별시', '관악구')",15.744285714285711
"('서울특별시', '광진구')",20.060000000000002
"('서울특별시', '구로구')",16.667142857142856
"('서울특별시', '금천구')",17.891
"('서울특별시', '노원구')",19.15263157894737
"('서울특별시', '도봉구')",16.390714285714285
"('서울특별시', '동대문구')",16.91071428571429
"('서울특별시', '동작구')",16.158666666666665
"('서울특별시', '마포구')",19.76125
"('서울특별시', '서대문구')",17.540714285714287
"('서울특별시', '서초구')",17.462222222222223
"('서울특별시', '성동구')",18.318823529411766
"('서울특별시', '성북구')",17.246000000000002
"('서울특별시', '송파구')",17.677407407407408
"('서울특별시', '양천구')",16.058888888888887
"('서울특별시', '영등포구')",16.714999999999996
"('서울특별시', '용산구')",17.53
"('서울특별시', '은평구')",16.12875
"('서울특별시', '종로구')",16.551250000000003
"('서울특별시', '중구')",14.592666666666666
"('서울특별시', '중랑구')",18.633125
"('세종특별자치시', '세종시')",22.761666666666667
"('울산광역시', '남구')",17.350714285714286
"('울산광역시', '동구')",17.448888888888888
"('울산광역시', '북구')",18.436249999999998
"('울산광역시', '울주군')",24.527272727272727
"('울산광역시', '중구')",18.122307692307693
"('인천광역시', '강화군')",20.25916666666667
"('인천광역시', '계양구')",19.03333333333333
"('인천광역시', '남동구')",16.9615
"('인천광역시', '동구')",17.30727272727273
"('인천광역시', '미추홀구')",17.259047619047617
"('인천광역시', '부평구')",16.737272727272725
"('인천광역시', '서구')",18.012105263157896
"('인천광역시', '연수구')",17.58076923076923
"('인천광역시', '옹진군')",20.0
"('인천광역시', '중구')",18.809166666666666
"('전라남도', '강진군')",33.667272727272724
"('전라남도', '고흥군')",29.4525
"('전라남도', '곡성군')",37.53727272727273
"('전라남도', '광양시')",24.977499999999996
"('전라남도', '구례군')",30.036250000000003
"('전라남도', '나주시')",25.901
"('전라남도', '담양군')",32.11000000000001
"('전라남도', '목포시')",17.91
"('전라남도', '무안군')",27.12777777777778
"('전라남도', '보성군')",37.2275
"('전라남도', '순천시')",25.991666666666664
"('전라남도', '신안군')",28.97375
"('전라남도', '여수시')",21.13153846153846
"('전라남도', '영광군')",28.023000000000003
"('전라남도', '영암군')",27.66
"('전라남도', '완도군')",28.046000000000003
"('전라남도', '장성군')",27.014545454545452
"('전라남도', '장흥군')",32.83200000000001
"('전라남도', '진도군')",30.146666666666665
"('전라남도', '함평군')",30.43444444444445
"('전라남도', '해남군')",29.812142857142856
"('전라남도', '화순군')",30.467272727272725
"('전라북도', '고창군')",29.709285714285716
"('전라북도', '군산시')",24.395185185185188
"('전라북도', '김제시')",28.18578947368421
"('전라북도', '남원시')",29.426956521739136
"('전라북도', '무주군')",34.495
"('전라북도', '부안군')",29.425833333333333
"('전라북도', '순창군')",32.36636363636364
"('전라북도', '완주군')",33.19846153846154
"('전라북도', '익산시')",22.718620689655175
"('전라북도', '임실군')",33.91333333333333
"('전라북도', '장수군')",36.43285714285714
"('전라북도', '전주시 덕진구')",19.088666666666665
"('전라북도', '전주시 완산구')",17.503157894736844
"('전라북도', '정읍시')",26.669565217391302
"('전라북도', '진안군')",39.89363636363637
"('제주특별자치도', '서귀포시')",22.807647058823527
"('제주특별자치도', '제주시')",20.374166666666667
"('충청남도', '계룡시')",19.7
"('충청남도', '공주시')",29.624375
"('충청남도', '금산군')",29.482
"('충청남도', '논산시')",26.284666666666666
"('충청남도', '당진시')",25.518571428571427
"('충청남도', '보령시')",28.88875
"('충청남도', '부여군')",31.484375
"('충청남도', '서산시')",23.693333333333335
"('충청남도', '서천군')",28.80461538461538
"('충청남도', '아산시')",24.054117647058824
"('충청남도', '예산군')",29.02
"('충청남도', '천안시 동남구')",22.577058823529416
"('충청남도', '천안시 서북구')",19.436153846153847
"('충청남도', '청양군')",31.663
"('충청남도', '태안군')",23.18375
"('충청남도', '홍성군')",24.816363636363636
"('충청북도', '괴산군')",31.826363636363638
"('충청북도', '단양군')",32.5775
"('충청북도', '보은군')",33.66
"('충청북도', '영동군')",33.094545454545454
"('충청북도', '옥천군')",31.67555555555556
"('충청북도', '음성군')",26.204444444444444
"('충청북도', '제천시')",24.85529411764706
"('충청북도', '증평군')",23.205
"('충청북도', '진천군')",25.78
"('충청북도', '청주시 상당구')",21.879230769230766
"('충청북도', '청주시 서원구')",19.917272727272724
"('충청북도', '청주시 청원구')",21.63125
"('충청북도', '청주시 흥덕구')",20.133636363636366
"('충청북도', '충주시')",24.247600000000002